iteration	param	old_value	new_value	score_before	score_after	status
1	searchLimit	8	15	0.6667	0.6667	kept
2	maxMemoryLines	12	10	0.6667	0.6667	kept
3	maxMemoryLines	10	12	0.6667	0.6667	kept
4	maxMemoryLines	12	8	0.6667	0.6667	kept
5	searchLimit	15	12	0.6667	0.6667	kept
6	scoreThreshold	0.5	0.45	0.6667	0.6667	kept
7	searchLimit	12	10	0.6667	0.6667	kept
8	searchLimit	10	5	0.6667	0.6667	kept
9	scoreThreshold	0.45	0.65	0.6667	0.5333	discarded
10	maxMemoryLines	8	20	0.6667	0.6667	kept
11	scoreThreshold	0.45	0.65	0.6667	0.5333	discarded
12	searchLimit	5	10	0.6667	0.6667	kept
13	searchLimit	10	5	0.6667	0.6667	kept
14	maxMemoryLines	20	12	0.6667	0.6667	kept
15	scoreThreshold	0.45	0.5	0.6667	0.6667	kept
16	scoreThreshold	0.5	0.65	0.6667	0.5333	discarded
17	maxMemoryLines	12	6	0.6667	0.6667	kept
18	maxMemoryLines	6	10	0.6667	0.6667	kept
19	searchLimit	5	15	0.6667	0.6667	kept
20	searchLimit	15	10	0.6667	0.6667	kept
21	maxMemoryLines	10	12	0.6667	0.6667	kept
22	scoreThreshold	0.5	0.7	0.6667	0.5333	discarded
23	scoreThreshold	0.5	0.35	0.6667	0.6494	discarded
24	maxMemoryLines	12	20	0.6667	0.6667	kept
25	searchLimit	10	5	0.6667	0.6667	kept
