iteration	combined_before	combined_after	clarity	warmth	depth	recovery	conversion	mutation	status
1	5.453	5.479	6.34	5.12	5.34	5.22	5.40	Phase 2: Obsidian is optional, not required	keep
2	5.479	5.512	6.40	5.14	5.38	5.22	5.44	Phase 1: acknowledge vulnerability before moving on	keep
3	5.512	5.564	6.40	5.16	5.42	5.48	5.44	Phase 1: handle confused answers gracefully	keep
4	5.564	5.553	6.44	5.18	5.42	5.32	5.44	Phase 5: emotional arc — connect to personal unlock	discard
1	5.502	5.654	6.46	5.30	5.38	5.58	5.62	Phase 1: mirror user energy	keep
5	5.564	5.542	6.38	5.16	5.40	5.36	5.46	Phase 1: enforce single question per message	discard
2	5.654	5.647	6.46	5.30	5.48	5.48	5.56	Phase 1: enforce single question per message	discard
6	5.564	5.649	6.44	5.30	5.42	5.60	5.56	Phase 1: mirror user energy	keep
3	5.654	5.673	6.42	5.38	5.48	5.52	5.60	Phase 0: explain gaps in plain language with benefits	keep
4	5.673	5.673	6.42	5.38	5.48	5.52	5.60	Phase 5: emotional arc — connect to personal unlock	skipped
7	5.649	5.661	6.48	5.30	5.42	5.60	5.58	Phase 1: micro-version for skippers	keep
5	5.673	5.705	6.46	5.42	5.48	5.64	5.58	Phase 1: micro-version for skippers	keep
8	5.661	5.746	6.50	5.38	5.54	5.74	5.66	Phase 4: focus overwhelmed users on one integration	keep
6	5.705	5.748	6.52	5.48	5.56	5.56	5.64	Phase 1: reflect back answers before saving	keep
7	5.748	5.748	6.52	5.48	5.56	5.56	5.64	Phase 1: handle confused answers gracefully	skipped
8	5.748	5.748	6.52	5.48	5.56	5.56	5.64	Phase 1: acknowledge vulnerability before moving on	skipped
9	5.746	5.829	6.58	5.48	5.64	5.78	5.74	Phase 3: quantify ROI per workflow	keep
9	5.748	5.797	6.52	5.50	5.60	5.64	5.76	Phase 0: set time expectations upfront	keep
10	5.829	5.852	6.60	5.56	5.66	5.72	5.76	Phase 0: explain gaps in plain language with benefits	keep
10	5.797	5.845	6.54	5.52	5.74	5.66	5.80	Phase 5: ban generic commands, force personalization	keep
11	5.852	5.914	6.64	5.62	5.70	5.82	5.84	Phase 0: set time expectations upfront	keep
11	5.845	5.883	6.62	5.54	5.74	5.72	5.84	Phase 5: deepening goes to gaps, not repetition	keep
12	5.883	5.883	6.62	5.54	5.74	5.72	5.84	Phase 2: Obsidian is optional, not required	skipped
12	5.914	5.853	6.42	5.66	5.62	5.88	5.74	Phase 5: deepening goes to gaps, not repetition	discard
